HostPlant,specimen,species,phylo,para_sampled,Num_Para,Num_Para_Tachinid,Num_Para_Hymenoptera,Not_Para,varRR.birds,site.delta.bird.LRR,site.varDRR.birds,varRR.ants,site.delta.ant.LRR,site.varDRR.ants,Specialist,MPD,wt.MPD
BC,spec1,Achatia_distincta,Achatia_distincta,41,12,6,7,29,0.117560962,-0.352110595,0.122723754,0.079329163,0.4857624,0.081659279,no,216.55,190.37
BC,spec2,Acronicta_hasta,Acronicta_hasta,40,0,0,0,40,NA,NA,NA,0.05720649,0.153880191,0.058508353,yes,NA,NA
BC,spec3,Amphipyra_pyramidoides,Amphipyra_pyramidoides,45,19,2,17,26,0.154364783,-0.200355767,0.166265538,NA,NA,NA,no,209.68,188.5
BC,spec4,Eutrapela_clemataria,Eutrapela_clemataria,41,2,0,2,39,NA,NA,NA,0.060881173,-0.21589602,0.062150983,no,264.56,224.43
BC,spec5,Lomographa_glomeraria,Lomographa_glomeraria,71,3,1,1,68,0.095196192,-0.015213668,0.098824755,NA,NA,NA,yes,0,0
BC,spec6,Lomographa_vestaliata,Lomographa_vestaliata,58,2,1,1,56,0.161665698,0.525644119,0.174730485,0.044907142,-0.628931688,0.045933242,yes,NA,NA
BC,spec7,Melanolophia_canadaria,Melanolophia_canadaria,504,44,16,28,460,0.008138341,0.144725224,0.008167988,0.011106536,-0.049368541,0.011152428,no,246.98,217.45
BC,spec8,Morrisonia_confusa,Morrisonia_confusa,40,0,0,0,40,0.095370182,0.88114606,0.098619776,0.074015122,0.156999963,0.076105111,no,248.59,202.23
BC,spec9,Orgyia_leucostigma,Orgyia_leucostigma,17,2,0,2,15,NA,NA,NA,0.102776757,0.635852364,0.10672808,no,227.48,188.8
BC,spec10,Orthosia_rubescens,Orthosia_rubescens,107,30,14,16,77,0.069840841,0.92866722,0.072895008,0.054926551,0.040457033,0.055934162,no,262.67,221.96
BC,spec11,Papilio_glaucus,Papilio_glaucus,47,3,1,2,44,0.232424166,-2.645069601,0.253475493,0.106052225,1.04459027,0.110834211,yes,0,0
BC,spec12,Satyrium_liparops,Satyrium_liparops,23,3,3,0,20,0.113956641,-1.912626677,0.118907293,NA,NA,NA,yes,247.47,33
BE,spec13,Achatia_distincta,Achatia_distincta,18,1,1,0,17,0.057282178,-0.268571922,0.058674295,NA,NA,NA,no,216.55,190.37
BE,spec14,Lymantria_dispar,Lymantria_dispar,128,10,2,9,118,0.079972008,-0.757204225,0.082136955,NA,NA,NA,no,259.22,229.19
BE,spec15,Melanolophia_canadaria,Melanolophia_canadaria,24,1,1,0,23,0.029795242,0.560254797,0.030100411,0.049057263,0.068748359,0.050401737,no,246.98,217.45
BE,spec16,Morrisonia_confusa,Morrisonia_confusa,24,0,0,0,24,0.053245014,0.018286444,0.054270885,0.020967286,-0.179276669,0.021193145,no,248.59,202.23
BE,spec17,Orthosia_rubescens,Orthosia_rubescens,60,9,3,6,51,0.061916882,0.431141575,0.063580104,NA,NA,NA,no,262.67,221.96
HI,spec18,Achatia_distincta,Achatia_distincta,43,12,3,9,31,0.05853188,-0.161979274,0.059980914,0.041806228,0.253259765,0.042701441,no,216.55,190.37
HI,spec19,Amphipyra_pyramidoides,Amphipyra_pyramidoides,21,8,1,7,13,0.299672717,0.34515977,0.344640042,NA,NA,NA,no,209.68,188.5
HI,spec20,Ennomos_subsignaria,Ennomos_subsignaria,39,7,6,2,32,0.158182204,-0.168867061,0.166582256,NA,NA,NA,no,255.61,191.18
HI,spec21,Melanolophia_canadaria,Melanolophia_canadaria,218,21,2,19,197,0.019008858,0.080325306,0.019200452,0.01607378,-0.10485561,0.016161255,no,246.98,217.45
HI,spec22,Morrisonia_confusa,Morrisonia_confusa,39,1,0,1,38,0.086189646,-0.026769847,0.089359355,0.01707673,0.460074731,0.017196787,no,248.59,202.23
HI,spec23,Orthosia_rubescens,Orthosia_rubescens,74,25,10,15,49,0.038097579,-0.016380072,0.039037915,0.027612667,-0.022266727,0.027866989,no,262.67,221.96
RM,spec24,Achatia_distincta,Achatia_distincta,18,6,3,3,12,0.292329598,0.674888917,0.353333307,0.13108649,-0.22448862,0.137267727,no,216.55,190.37
RM,spec25,Crocidographa_normani,Crocidographa_normani,21,2,2,0,19,0.155951914,1.040707916,0.167739748,0.150781564,-0.021452594,0.158958488,no,265.04,230.76
RM,spec26,Dryocampa_rubicunda,Dryocampa_rubicunda,91,20,0,20,71,NA,NA,NA,0.52220546,-0.47486164,0.632766276,yes,NA,NA
RM,spec27,Ennomos_subsignaria,Ennomos_subsignaria,71,29,17,2,42,0.244327486,1.147967949,0.279035627,0.197312764,-0.187989826,0.211052216,no,255.61,191.18
RM,spec28,Eutrapela_clemataria,Eutrapela_clemataria,17,1,1,0,16,0.240854137,0.490849556,0.27012143,0.211195178,-0.010115933,0.226088598,no,264.56,224.43
RM,spec29,Iridopsis_ephyraria,Iridopsis_ephyraria,16,2,0,1,14,0.594872743,1.217154698,0.838875431,0.461462286,1.244060607,0.55451227,no,258.1,209.89
RM,spec30,Lithophane_antennata,Lithophane_antennata,18,9,4,5,9,1.064683871,1.221106421,1.915916195,0.392906951,-0.27955298,0.451837593,no,210.45,161.62
RM,spec31,Lymantria_dispar,Lymantria_dispar,49,8,0,3,41,0.076545588,0.606446165,0.079706523,0.054648983,-0.066558961,0.055684044,no,259.22,229.19
RM,spec32,Melanolophia_canadaria,Melanolophia_canadaria,129,15,6,8,114,0.047728654,0.200796443,0.048573543,0.050823878,-0.093092783,0.051713364,no,246.98,217.45
RM,spec33,Morrisonia_confusa,Morrisonia_confusa,30,0,0,0,30,0.103745633,1.13118249,0.109897193,0.073218038,0.16479859,0.075390164,no,248.59,202.23
RM,spec34,Orthosia_rubescens,Orthosia_rubescens,111,30,10,18,81,0.091831866,0.783882393,0.095958929,0.092362692,-0.436766375,0.096148412,no,262.67,221.96
RM,spec35,Parallelia_bistriaris,Parallelia_bistriaris,19,1,0,1,18,0.149532689,0.334337419,0.157600445,0.131899593,0.05737091,0.139389982,yes,0,0
RM,spec36,Speranza_pustularia,Speranza_pustularia,700,148,74,51,552,0.012392055,0.02992684,0.012452399,0.012985491,-0.015975542,0.013046235,yes,0,0
RO,spec37,Achatia_distincta,Achatia_distincta,33,6,4,2,27,0.09353278,-0.164963825,0.096454559,NA,NA,NA,no,216.55,190.37
RO,spec38,Crocidographa_normani,Crocidographa_normani,15,2,0,2,13,0.100602362,-0.970245356,0.105522251,NA,NA,NA,no,265.04,230.76
RO,spec39,Lymantria_dispar,Lymantria_dispar,124,19,0,9,105,0.151305305,0.22465396,0.1609608,NA,NA,NA,no,259.22,229.19
RO,spec40,Melanolophia_canadaria,Melanolophia_canadaria,101,10,1,8,91,0.041264392,-0.744780876,0.042006238,0.02262456,-0.068331984,0.022805041,no,246.98,217.45
RO,spec41,Morrisonia_confusa,Morrisonia_confusa,55,1,0,1,54,0.081132868,0.716384813,0.084335702,0.033443397,0.238773187,0.033840138,no,248.59,202.23
RO,spec42,Orthosia_rubescens,Orthosia_rubescens,74,22,12,9,52,0.052813706,-0.437673682,0.054204708,0.110725063,0.540109147,0.119674782,no,262.67,221.96
WH,spec43,Achatia_distincta,Achatia_distincta,34,4,2,2,30,0.222637199,0.701805582,0.245181545,0.188681214,0.021524121,0.201618382,no,216.55,190.37
WH,spec44,Iridopsis_ephyraria,Iridopsis_ephyraria,16,1,0,1,15,0.446575805,-0.249746008,0.514789409,0.452481825,-0.679617607,0.52112099,no,258.1,209.89
WH,spec45,Lymantria_dispar,Lymantria_dispar,180,16,0,9,164,0.030421441,0.253496784,0.030816192,0.02496674,-0.050737515,0.02520001,no,259.22,229.19
WH,spec46,Melanolophia_canadaria,Melanolophia_canadaria,143,17,5,11,126,0.03403908,0.507183521,0.034632404,0.029758381,0.194924539,0.030071585,no,246.98,217.45
WH,spec47,Morrisonia_confusa,Morrisonia_confusa,20,0,0,0,20,0.093915121,0.949833106,0.098415423,0.058457362,0.078190582,0.059725162,no,248.59,202.23
WH,spec48,Nola_triquetrana,Nola_triquetrana,99,34,0,15,65,0.037927678,0.025622115,0.03846729,0.030367578,0.027916401,0.030709721,yes,0,0
WH,spec49,Orthosia_rubescens,Orthosia_rubescens,86,17,10,7,69,0.089500462,0.69113124,0.092653629,0.093733049,-0.317999147,0.097667504,no,262.67,221.96
WH,spec50,Pyreferra_hesperidago,Pyreferra_hesperidago,120,30,26,4,90,0.080038539,-0.111939259,0.082438184,0.108426071,0.235999481,0.113566224,yes,0,0
WO,spec51,Achatia_distincta,Achatia_distincta,33,2,2,0,31,0.127057446,1.129873209,0.136412886,NA,NA,NA,no,216.55,190.37
WO,spec52,Acronicta_ovata,Acronicta_ovata,21,9,0,9,12,NA,NA,NA,0.096961443,-0.352561785,0.100123116,yes,NA,NA
WO,spec53,Besma_quercivoraria,Besma_quercivoraria,33,3,0,3,30,0.077236745,0.339040791,0.079473352,NA,NA,NA,no,190.47,190.47
WO,spec54,Lymantria_dispar,Lymantria_dispar,98,12,0,12,86,NA,NA,NA,0.137012845,0.113477196,0.143589347,no,259.22,229.19
WO,spec55,Melanolophia_canadaria,Melanolophia_canadaria,171,5,0,5,166,0.012226239,0.229669429,0.012293347,0.031744641,0.447272699,0.032080962,no,246.98,217.45
WO,spec56,Morrisonia_confusa,Morrisonia_confusa,62,3,0,3,59,0.0726851,-0.100387719,0.074796065,0.037917992,0.130662147,0.038493143,no,248.59,202.23
WO,spec57,Nadata_gibbosa,Nadata_gibbosa,36,9,5,4,27,0.105681604,-0.891406393,0.109600094,0.093736052,-0.052531461,0.096831573,yes,80.46,53.64
WO,spec58,Orgyia_leucostigma,Orgyia_leucostigma,17,0,0,0,17,NA,NA,NA,0.123319168,0.290692868,0.129628121,no,227.48,188.8
WO,spec59,Orthosia_rubescens,Orthosia_rubescens,46,10,3,7,36,0.118213766,-1.669640122,0.125303302,0.210269601,-0.924832604,0.227800719,no,262.67,221.96
